date_id,full_date,day,month,month_name,month_short,quarter,year,day_of_week,day_name,week_of_year,day_of_year,week_start_date,week_end_date,year_month,month_year,is_weekend,weekday_type,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_leap_year,financial_year,financial_quarter,season,travel_season,is_public_holiday,is_long_weekend
20260101,2026-01-01,1,1,January,Jan,Q1,2026,4,Thursday,1,1,2025-12-29,2026-01-04,2026-01,Jan-2026,False,Weekday,True,False,True,False,True,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260102,2026-01-02,2,1,January,Jan,Q1,2026,5,Friday,1,2,2025-12-29,2026-01-04,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260103,2026-01-03,3,1,January,Jan,Q1,2026,6,Saturday,1,3,2025-12-29,2026-01-04,2026-01,Jan-2026,True,Weekend,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260104,2026-01-04,4,1,January,Jan,Q1,2026,7,Sunday,1,4,2025-12-29,2026-01-04,2026-01,Jan-2026,True,Weekend,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260105,2026-01-05,5,1,January,Jan,Q1,2026,1,Monday,2,5,2026-01-05,2026-01-11,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260106,2026-01-06,6,1,January,Jan,Q1,2026,2,Tuesday,2,6,2026-01-05,2026-01-11,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260107,2026-01-07,7,1,January,Jan,Q1,2026,3,Wednesday,2,7,2026-01-05,2026-01-11,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260108,2026-01-08,8,1,January,Jan,Q1,2026,4,Thursday,2,8,2026-01-05,2026-01-11,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260109,2026-01-09,9,1,January,Jan,Q1,2026,5,Friday,2,9,2026-01-05,2026-01-11,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260110,2026-01-10,10,1,January,Jan,Q1,2026,6,Saturday,2,10,2026-01-05,2026-01-11,2026-01,Jan-2026,True,Weekend,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260111,2026-01-11,11,1,January,Jan,Q1,2026,7,Sunday,2,11,2026-01-05,2026-01-11,2026-01,Jan-2026,True,Weekend,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260112,2026-01-12,12,1,January,Jan,Q1,2026,1,Monday,3,12,2026-01-12,2026-01-18,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260113,2026-01-13,13,1,January,Jan,Q1,2026,2,Tuesday,3,13,2026-01-12,2026-01-18,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260114,2026-01-14,14,1,January,Jan,Q1,2026,3,Wednesday,3,14,2026-01-12,2026-01-18,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260115,2026-01-15,15,1,January,Jan,Q1,2026,4,Thursday,3,15,2026-01-12,2026-01-18,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260116,2026-01-16,16,1,January,Jan,Q1,2026,5,Friday,3,16,2026-01-12,2026-01-18,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260117,2026-01-17,17,1,January,Jan,Q1,2026,6,Saturday,3,17,2026-01-12,2026-01-18,2026-01,Jan-2026,True,Weekend,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260118,2026-01-18,18,1,January,Jan,Q1,2026,7,Sunday,3,18,2026-01-12,2026-01-18,2026-01,Jan-2026,True,Weekend,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260119,2026-01-19,19,1,January,Jan,Q1,2026,1,Monday,4,19,2026-01-19,2026-01-25,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260120,2026-01-20,20,1,January,Jan,Q1,2026,2,Tuesday,4,20,2026-01-19,2026-01-25,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260121,2026-01-21,21,1,January,Jan,Q1,2026,3,Wednesday,4,21,2026-01-19,2026-01-25,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260122,2026-01-22,22,1,January,Jan,Q1,2026,4,Thursday,4,22,2026-01-19,2026-01-25,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260123,2026-01-23,23,1,January,Jan,Q1,2026,5,Friday,4,23,2026-01-19,2026-01-25,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260124,2026-01-24,24,1,January,Jan,Q1,2026,6,Saturday,4,24,2026-01-19,2026-01-25,2026-01,Jan-2026,True,Weekend,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260125,2026-01-25,25,1,January,Jan,Q1,2026,7,Sunday,4,25,2026-01-19,2026-01-25,2026-01,Jan-2026,True,Weekend,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
20260126,2026-01-26,26,1,January,Jan,Q1,2026,1,Monday,5,26,2026-01-26,2026-02-01,2026-01,Jan-2026,False,Weekday,False,False,False,False,False,False,False,FY2025-26,Q4,Winter,Off-Peak,False,False
