route_id,origin_airport,destination_airport,distance_km,estimated_duration_min,route_type,is_hub_route
1,HYD,DEL,1265.58,123,Domestic,True
2,GOX,TRV,868.93,94,Domestic,False
3,DEL,HYD,1265.58,123,Domestic,True
4,LKO,BOM,1183.67,117,Domestic,True
5,BLR,HYD,456.06,63,Domestic,False
6,MAA,DEL,1759.38,159,Domestic,True
7,JAI,CCU,1356.71,129,Domestic,False
8,BOM,DEL,1137.05,113,Domestic,True
9,JAI,BOM,911.31,97,Domestic,True
10,CCU,PNQ,1577.3,145,Domestic,False
11,BLR,BOM,834.35,91,Domestic,True
12,PNQ,MAA,912.7,97,Domestic,False
13,DEL,SXR,643.01,77,Domestic,True
14,MAA,HYD,507.8,67,Domestic,False
15,COK,DEL,2047.75,180,Domestic,True
16,GAU,MAA,1883.42,168,Domestic,False
17,DEL,BOM,1137.05,113,Domestic,True
18,MAA,BOM,1033.48,106,Domestic,True
19,COK,BLR,367.35,57,Domestic,False
20,LKO,MAA,1532.59,142,Domestic,False
21,SXR,COK,2655.53,224,Domestic,False
22,CCU,DEL,1312.42,126,Domestic,True
23,BOM,GAU,2071.24,182,Domestic,True
24,DEL,TRV,2232.22,193,Domestic,True
25,HYD,JAI,1099.18,110,Domestic,False
26,AMD,GOX,827.94,91,Domestic,False
27,JAI,SXR,802.66,89,Domestic,False
28,GAU,AMD,1944.56,172,Domestic,False
29,JAI,BLR,1527.89,142,Domestic,False
30,BLR,GAU,2039.31,179,Domestic,False
31,SXR,MAA,2397.19,205,Domestic,False
32,BOM,HYD,622.71,76,Domestic,True
33,DEL,MAA,1759.38,159,Domestic,True
34,MAA,GOX,737.94,84,Domestic,False
35,DEL,JAI,230.58,47,Domestic,True
36,BLR,MAA,267.86,50,Domestic,False
37,MAA,SXR,2397.19,205,Domestic,False
38,COK,HYD,818.01,90,Domestic,False
39,GOX,MAA,737.94,84,Domestic,False
40,MAA,BLR,267.86,50,Domestic,False
41,BOM,BLR,834.35,91,Domestic,True
42,GOX,JAI,1248.97,121,Domestic,False
43,SXR,HYD,1897.45,169,Domestic,False
44,TRV,DEL,2232.22,193,Domestic,True
45,AMD,TRV,1685.85,153,Domestic,False
46,CCU,BLR,1546.76,143,Domestic,False
47,GAU,BOM,2071.24,182,Domestic,True
48,SXR,GOX,2031.94,179,Domestic,False
49,SXR,SIN,4730.49,376,India-International,True
50,CCU,DOH,3742.99,304,India-International,True
51,BOM,SIN,3921.0,317,India-International,True
52,HYD,KUL,3009.13,250,India-International,False
53,LKO,SIN,3749.27,304,India-International,True
54,BOM,LHR,7212.28,558,India-International,True
55,BOM,DOH,2291.02,198,India-International,True
56,CCU,SIN,2902.5,242,India-International,True
57,MAA,DOH,3286.37,270,India-International,True
58,PNQ,KUL,3499.91,286,India-International,False
59,TRV,DOH,3265.49,269,India-International,True
60,DEL,KUL,3876.14,314,India-International,True
61,GOX,DOH,2550.36,217,India-International,True
62,MAA,DXB,2932.98,245,India-International,True
63,COK,BKK,2676.73,226,India-International,False
64,DEL,AUH,2276.96,197,India-International,True
65,SXR,IST,4084.11,329,India-International,False
66,HYD,DXB,2546.23,216,India-International,True
67,DEL,SIN,4157.5,334,India-International,True
68,DEL,JFK,11755.25,890,India-International,True
69,BOM,JFK,12531.88,947,India-International,True
70,BOM,DXB,1925.79,171,India-International,True
71,GAU,SIN,3054.65,254,India-International,True
72,TRV,SIN,3099.65,257,India-International,True
73,MAA,SIN,2924.37,244,India-International,True
74,DEL,LHR,6731.39,523,India-International,True
75,BLR,LHR,8046.02,619,India-International,False
76,MAA,LHR,8234.19,633,India-International,False
77,LKO,BKK,2524.88,215,India-International,False
78,GAU,DOH,3991.07,322,India-International,True
79,GOX,DXB,2200.8,191,India-International,True
80,BLR,DXB,2695.04,227,India-International,True
81,HYD,SIN,3305.48,272,India-International,True
82,AMD,HND,6534.83,508,India-International,False
83,BOM,ZRH,6538.86,508,India-International,True
84,DEL,BKK,2947.83,246,India-International,True
85,AMD,IST,4537.15,362,India-International,False
86,MAA,JFK,13475.16,1016,India-International,False
87,HYD,DOH,2913.09,243,India-International,True
88,GAU,HND,4672.79,372,India-International,False
89,AMD,ZRH,6214.99,485,India-International,False
90,HYD,FRA,7116.95,551,India-International,False
91,BOM,BKK,3030.9,252,India-International,True
92,JAI,JFK,11882.61,899,India-International,False
93,DEL,DOH,2548.86,217,India-International,True
94,SXR,ZRH,5600.0,440,India-International,False
95,HYD,LHR,7752.86,597,India-International,False
96,BLR,IST,5656.38,444,India-International,False
97,DOH,DXB,377.87,58,International,True
98,LHR,DXB,5497.45,432,International,True
99,DXB,AUH,116.26,39,International,True
100,IST,DXB,3028.41,252,International,True
101,HKG,KUL,2543.36,216,International,False
102,IST,DOH,2755.88,232,International,True
103,AMS,BKK,9206.64,704,International,False
104,IST,LHR,2488.28,212,International,False
105,LHR,ZRH,788.4,88,International,False
106,SIN,FRA,10278.41,782,International,True
107,BKK,DXB,4903.52,389,International,True
108,SIN,JFK,15338.8,1152,International,True
109,DXB,JFK,11001.39,835,International,True
110,CDG,ZRH,477.07,65,International,False
111,LHR,DOH,5240.89,413,International,True
112,DXB,HKG,5919.92,463,International,True
113,AMS,LHR,370.3,57,International,False
114,DXB,BKK,4903.52,389,International,True
115,DOH,HND,8254.52,634,International,True
116,SIN,DOH,6205.65,484,International,True
117,LHR,AMS,370.3,57,International,False
118,LHR,CDG,346.96,55,International,False
119,FRA,DOH,4588.22,366,International,True
120,HND,BKK,4588.37,366,International,False
